species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MS,2019,B1,B1,M,contemporary,58.798864710258535,-42.405593418690366,-81.86010890088772,-116.90469573838016,-40.19127138200679
MS,2019,B1,Eldo,M,contemporary,63.61558654782321,-44.11086287702453,-85.14932918214191,-121.71658978114306,-44.45635051650154
MB,2020,B1,A1,F,contemporary,67.77184710747115,-143.49491034716783,-181.83870162797712,-183.7676346968838,-146.26957777884274
MB,2020,B1,B1,F,contemporary,67.05480315119684,-122.81772731822362,-167.74515348205804,-184.69962269882134,-126.20469614378864
MB,2020,B1,C1,F,contemporary,53.16601975447277,-149.30889015755284,-196.86178135426198,-198.0130819702288,-145.75342256381276
MB,2020,B1,D1,F,contemporary,28.71215038000498,-75.93052301342544,-144.480391948169,-199.50135944390598,-74.3454531666377
MS,2020,B1,A1,F,contemporary,97.5425183132117,-198.9594417604191,-239.07261584332724,-195.51321352060506,-202.4502093633199
MS,2020,B1,B1,F,contemporary,87.40384187226569,-175.09809662497437,-230.62953802081958,-230.52182283930765,-177.36881473035146
MS,2020,B1,Eldo,F,contemporary,96.54305191836137,-176.5308926534466,-234.113884397338,-236.99630622990674,-178.85331014504024
MB,2020,B1,A1,M,contemporary,63.537283872651194,-134.85767635738782,-170.80346870228112,-172.44138963309672,-137.47126221358585
MB,2020,B1,B1,M,contemporary,62.83300394724884,-115.4405107496864,-157.6119167218153,-173.42434868664856,-118.61486801422521
MB,2020,B1,C1,M,contemporary,49.66664334287824,-140.48887045597937,-184.94033139002312,-185.80080670617534,-136.97838625288776
MB,2020,B1,D1,M,contemporary,26.876070171187145,-71.33357121703821,-135.77027008623537,-187.4466293482336,-69.83842901458974
MS,2020,B1,A1,M,contemporary,65.93888170332974,-136.05297656002537,-162.96193002153836,-132.0133726801064,-138.46581482149836
MS,2020,B1,B1,M,contemporary,58.797680591013936,-119.83994343019893,-157.52054572190548,-156.7000281890649,-121.33357265554237
MS,2020,B1,Eldo,M,contemporary,64.88177388127265,-121.23269083098047,-159.8809262575278,-161.06445204494918,-122.3634035513674
MB,2021,B1,A1,F,contemporary,67.899012639545,12.905466314422693,-27.99662719579837,-69.1244249381898,7.1422544196735505
MB,2021,B1,B1,F,contemporary,65.62953190347228,42.42326811445558,12.43276797894404,-23.158781770953567,29.651734254312032
MB,2021,B1,C1,F,contemporary,50.43670886593458,35.4883485904723,19.080233349685038,-6.341566196616581,22.878518120104157
MB,2021,B1,D1,F,contemporary,32.18050134581511,21.155407796542505,22.13238721058232,17.789174258791753,10.32526812976151
