species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MB,2018,A1,D1,M,contemporary,30.06925804143922,-45.93335984710975,-66.17799522026812,-84.5889839919683,-32.720442553791315
MS,2018,A1,A1,M,contemporary,-163.47228754274562,57.40609823574155,-160.29935868497648,-175.26444585447254,-129.78386870355462
MS,2018,A1,B1,M,contemporary,NA,51.98476298866388,-142.42631740923375,NA,-108.42324072636218
MS,2018,A1,Eldo,M,contemporary,NA,45.60726405997502,-176.398592354623,NA,-151.8279805548001
MB,2019,A1,A1,F,contemporary,66.091279189258,-117.91191265820902,-144.0139178357372,-127.62471045911057,-118.76482096069893
MB,2019,A1,B1,F,contemporary,56.98401617935117,-55.68586405114196,-96.74014700045018,-126.1277958548377,-48.79728135833685
MB,2019,A1,C1,F,contemporary,55.93058577609844,-31.236275211150733,-89.09104063247317,-133.4613847087352,-30.759915705605298
MB,2019,A1,D1,F,contemporary,32.07306740062249,14.460060793759181,-21.396918797931225,-68.55682372864376,8.09712721084003
MS,2019,A1,A1,F,contemporary,91.34044083122383,-156.79114228596697,-235.93011265827965,-252.90179485611492,-153.32227182128887
MS,2019,A1,B1,F,contemporary,80.2995708413082,-53.31904430411505,-112.15039572802367,-167.04382358452946,-51.03121268558031
MS,2019,A1,Eldo,F,contemporary,88.48697270488644,-56.74293349183564,-118.03154836227772,-175.01835006175872,-58.07162142058577
MB,2019,A1,A1,M,contemporary,61.931642769062925,-110.81553751675075,-135.22944324006056,-119.60876293579672,-111.62206670933173
MB,2019,A1,B1,M,contemporary,53.31523255842767,-52.365474714092265,-90.94974213942209,-118.540667484131,-45.85974336316932
MB,2019,A1,C1,M,contemporary,52.351446071609566,-29.39469011802474,-83.7312115302565,-125.4018942138393,-28.877319008862283
MB,2019,A1,D1,M,contemporary,30.020681444495274,13.651898723716968,-20.0554887471117,-64.39942428358577,7.668884814284188
MS,2019,A1,A1,M,contemporary,61.60707456143858,-107.22119089503587,-161.10530285965893,-171.96979907655566,-104.84004921452188
MS,2019,A1,B1,M,contemporary,53.800055206857145,-36.457873001045506,-76.72439133718895,-114.24384774590548,-34.79346498524447
MS,2019,A1,Eldo,M,contemporary,59.512487401966894,-38.94615863700417,-80.70802791708628,-119.63110648307435,-39.629766496976536
MB,2020,A1,A1,F,contemporary,65.81354859286856,-133.2690860868015,-133.87307342747602,-90.8011003218129,-139.63119928913068
MB,2020,A1,B1,F,contemporary,56.922310224905374,-127.59528923002235,-143.53455895651547,-120.87430779345935,-129.67522814892183
MB,2020,A1,C1,F,contemporary,52.351395265322694,-147.34675252498795,-155.164434541429,-102.55784338625597,-148.9562632670365
MB,2020,A1,D1,F,contemporary,30.880793828551493,-88.61390796001396,-151.5995288201857,-181.96548280107942,-87.48517844189692
MS,2020,A1,A1,F,contemporary,91.81886143535772,-201.26211053524585,-250.26747840424156,-187.74883630969896,-202.83564318499305
