shade,height,total_net_gains,avg_gains,avg_losses,hours,species,year,site_orig,site_clim,sex,year_period,filepath
0,0.15,12.953174135071688,0.007374039359673348,0.0015049074452774768,2207,MB,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_B1.rds
0.3,0.03,13.233369517380254,0.007506019562156479,0.0015099300662886706,2207,MB,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_B1.rds
0.8,0.01,8.902209150513652,0.005334340624154125,0.0013007161789734937,2207,MB,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_B1.rds
0.8,0.15,6.338796944069005,0.004099157185778558,0.0012270244517191993,2207,MB,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_B1.rds
NA,NA,17.318876461051797,0.009567805468107798,0.001720557411446359,2207,MB,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_B1.rds
0,0.01,19.18671904647239,0.010674797199295177,0.001981222642669717,2207,MB,1950,A1,C1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_C1.rds
0,0.15,13.819521246634793,0.007754103094957761,0.001492426046188032,2207,MB,1950,A1,C1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_C1.rds
0.3,0.03,14.839851200427905,0.008271362674448087,0.001547370286397383,2207,MB,1950,A1,C1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_C1.rds
0.8,0.01,9.803691732286167,0.005710477547796276,0.0012683879545537897,2207,MB,1950,A1,C1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_C1.rds
0.8,0.15,5.19407142689321,0.003453693271591547,0.001100239974403867,2207,MB,1950,A1,C1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_C1.rds
NA,NA,19.191967238060066,0.01045212594862748,0.001756173416656449,2207,MB,1950,A1,C1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_C1.rds
0,0.01,14.709187774236351,0.008266993035390562,0.0016022047371411965,2207,MB,1950,A1,D1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_D1.rds
0,0.15,9.7121931641682675,0.005689055775911154,0.0012884245279871543,2207,MB,1950,A1,D1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_D1.rds
0.3,0.03,10.271084956380589,0.005960745821510886,0.0013068786006769084,2207,MB,1950,A1,D1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_D1.rds
0.8,0.01,5.950624481202962,0.0037904081975816202,0.0010941578662708078,2207,MB,1950,A1,D1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_D1.rds
0.8,0.15,2.9121722831270334,0.0023199447444907963,0.0010004285310213654,2207,MB,1950,A1,D1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_D1.rds
NA,NA,14.66031830748346,0.00815625150004693,0.0015136061409696947,2207,MB,1950,A1,D1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MB_1950_A1_D1.rds
0,0.01,15.308049047239097,0.008865227205466904,0.001929092612245746,2207,MS,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_A1.rds
0,0.15,10.063952209661744,0.006124683717268079,0.0015646691229492097,2207,MS,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_A1.rds
0.3,0.03,10.673077772592894,0.0064242002519527995,0.0015881885742940343,2207,MS,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_A1.rds
0.8,0.01,6.213896727172576,0.0041611975684002845,0.0013456575923365887,2207,MS,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_A1.rds
0.8,0.15,3.2707504193682757,0.002712888514002107,0.0012308991984750224,2207,MS,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_A1.rds
NA,NA,12.243990738359782,0.0072010258187243945,0.0016532275684481002,2207,MS,1950,A1,A1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_A1.rds
0,0.01,11.431046954919253,0.006790449726679767,0.0016109993619678265,2207,MS,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_B1.rds
0,0.15,6.600470974086815,0.004359568538065454,0.0013688703169114822,2207,MS,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_B1.rds
0.3,0.03,6.952473003431268,0.004523107568543388,0.001372915904097865,2207,MS,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_B1.rds
0.8,0.01,3.499910513026672,0.0027731570934924634,0.001187334477712367,2207,MS,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_B1.rds
0.8,0.15,1.621009698144779,0.001857002263011579,0.0011225166725517789,2207,MS,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_B1.rds
NA,NA,9.816978370533054,0.005962429694408769,0.0015143198754087451,2207,MS,1950,A1,B1,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_B1.rds
0,0.01,15.53438997676083,0.009065359308029866,0.0020266687884282204,2207,MS,1950,A1,Eldo,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_Eldo.rds
0,0.15,11.093909830429125,0.006690053676221522,0.00166336141050828,2207,MS,1950,A1,Eldo,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_Eldo.rds
0.3,0.03,11.521071900934812,0.006897806341293279,0.0016775653349793626,2207,MS,1950,A1,Eldo,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_Eldo.rds
0.8,0.01,7.140062367218488,0.00466139213045879,0.0014262030198024741,2207,MS,1950,A1,Eldo,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_Eldo.rds
0.8,0.15,4.3221342394302775,0.0032718200250411783,0.001313444746640509,2207,MS,1950,A1,Eldo,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_Eldo.rds
NA,NA,12.916141712850244,0.007566861681742666,0.0017145092971254283,2207,MS,1950,A1,Eldo,M,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/M/eb_results_MS_1950_A1_Eldo.rds
0,0.01,17.143588436373427,0.009852231320220561,0.0020844069267572955,2207,MB,1951,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_A1.rds
0,0.15,13.593106236051405,0.007859770685527206,0.0017006831295455994,2207,MB,1951,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_A1.rds
0.3,0.03,14.08916862891723,0.008112661814454455,0.001728806522693137,2207,MB,1951,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_A1.rds
0.8,0.01,10.290003574119648,0.006136729878007226,0.0014742905603272762,2207,MB,1951,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_A1.rds
0.8,0.15,7.423884686717575,0.004713508241495948,0.0013497181704866252,2207,MB,1951,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_A1.rds
NA,NA,27.31298322264245,0.015020711546570085,0.0026450961307828407,2207,MB,1951,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_A1.rds
0,0.01,14.114785310441794,0.008124817058078795,0.0017293547515804745,2207,MB,1951,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_B1.rds
0,0.15,10.437154141306404,0.0062163316331610595,0.0014872178400906451,2207,MB,1951,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_B1.rds
0.3,0.03,10.656117538364464,0.006318819640501876,0.0014904927087554044,2207,MB,1951,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_B1.rds
0.8,0.01,7.1669500212302015,0.0045458926053976115,0.0012985205975905422,2207,MB,1951,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1951/F/eb_results_MB_1951_A1_B1.rds
