species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,2024,B1,C1,M,contemporary,11.303535014511814,7.226229759062232,6.451800926147367,2.4381700921919034,2.0515261922610817,11.225748420747808
MB,2024,B1,D1,M,contemporary,9.774596016125413,6.344759617322202,5.497172679354853,1.8427293207603235,1.6288265289855883,9.732391482636906
MS,2024,B1,A1,M,contemporary,14.969452650753839,10.853945425820323,10.035538826096362,5.264586413230594,4.926907633784128,13.639795290743496
MS,2024,B1,B1,M,contemporary,11.321547348878433,7.6839282031046885,7.081891212461505,3.3992053531464292,3.0713958178574554,10.863693879231626
MS,2024,B1,Eldo,M,contemporary,17.88042377126638,14.185366426032619,13.063439342866983,7.624641345243562,7.569187348572744,15.786821218223977
MB,1950,C1,A1,F,historical,11.039471878950659,7.511090445115778,7.016699529891712,3.4323036322506772,2.8695786062213133,12.301766670505142
MB,1950,C1,B1,F,historical,8.615663421851442,5.277723783123595,4.986046270884092,2.141452842573718,1.5735466290443147,9.093536942836144
MB,1950,C1,C1,F,historical,6.888264349607167,3.580406640562327,3.05150424758399,0.46504256684297485,0.08863282326918823,7.04478400078583
MB,1950,C1,D1,F,historical,5.7470267401032995,2.856869606875328,2.4875537605391176,0.2818687163935632,-0.07563418333947593,5.858558062768465
MB,1950,C1,A1,M,historical,12.857136819501173,8.828631136288763,8.259908876149446,4.1596409818541495,3.525174859784544,12.755399392763632
MB,1950,C1,B1,M,historical,10.077984225849848,6.269220899035091,5.932607794722603,2.6773615448150783,2.0354330384308317,9.997134041857777
MB,1950,C1,C1,M,historical,8.082414432296009,4.309370710396889,3.7013696262769207,0.7371345200522094,0.31368009214030956,8.015701822897524
MB,1950,C1,D1,M,historical,6.778847026543853,3.4837250555899097,3.057680622994439,0.5279669671965145,0.12667337261264328,6.723829544777674
MB,1951,C1,A1,F,historical,10.37331520926288,7.232979064626659,6.78509694220136,3.4984956306566395,3.047961651436484,11.990245520189474
MB,1951,C1,B1,F,historical,8.234975391849948,5.284516702228112,5.002270437680471,2.368829323383008,1.9093548942294303,8.970072551802907
MB,1951,C1,C1,F,historical,6.935573727595615,3.9907527799622544,3.5422848193294,1.0348408399918998,0.6623913028574788,7.5087023707663265
MB,1951,C1,D1,F,historical,5.872663251575511,3.407649815424902,2.9356266529856163,0.7234464278981056,0.44201159302097093,6.424801013809034
MB,1951,C1,A1,M,historical,12.100505322453587,8.512973344257718,7.998157015697689,4.237312772087856,3.7291314662187487,11.99052053743891
MB,1951,C1,B1,M,historical,9.647421503074789,6.278849883584772,5.953814464145183,2.939388326909438,2.4196913115868606,9.574534623730722
MB,1951,C1,C1,M,historical,8.142813582907706,4.781536497856588,4.265584526175714,1.391243899667451,0.9723043333953771,8.044726594534763
MB,1951,C1,D1,M,historical,6.928738545692131,4.116246544507595,3.5730284688305876,1.0365106975687315,0.7216267343107721,6.838143809437976
MB,1952,C1,A1,F,historical,13.148359414756932,9.925847276220372,9.349971829524732,5.348571480861604,4.753697182854044,16.81357947870227
MB,1952,C1,B1,F,historical,10.648201805789807,7.388187938122183,7.042014770747531,3.810845507597505,3.1410458506397814,12.32341244636438
MB,1952,C1,C1,F,historical,8.3620362430846,4.913370459135798,4.393477871767997,1.3813731623344179,0.889508301087455,9.116201364367136
MB,1952,C1,D1,F,historical,7.185670808076,4.188437252839495,3.7572612984308584,1.1936903945166102,0.700935494105903,7.96449111440065
MB,1952,C1,A1,M,historical,15.292936306097474,11.603402967209272,10.94184824191436,6.3636299752692125,5.692246488594775,15.142943363648065
MB,1952,C1,B1,M,historical,12.421363997729193,8.695103202672978,8.29666188497501,4.599784404963947,3.8418451972686314,12.279490704790799
MB,1952,C1,C1,M,historical,9.780603386923573,5.844500513874405,5.246817980284148,1.7978565810778597,1.243736667262233,9.636236544834105
MB,1952,C1,D1,M,historical,8.437818116407733,5.018089169159921,4.521236886413056,1.5840957028475369,1.0294674511619408,8.289451484092739
MB,1953,C1,A1,F,historical,12.192329935919952,9.029330350593618,8.391998043156441,4.512598981805085,4.223222504230978,14.635559731813911
MB,1953,C1,B1,F,historical,9.641704835484417,6.611301133415437,6.149628052280177,2.9602720784930217,2.650300758458792,10.004335610147168
MB,1953,C1,C1,F,historical,7.724519119134331,4.656371671885181,4.069886624795694,1.189299730396414,0.888368659097864,7.860694083365017
MB,1953,C1,D1,F,historical,6.479963198147679,3.90285242478749,3.349577847528962,0.8550985324082658,0.6435545986504826,6.5495918505566655
MB,1953,C1,A1,M,historical,14.187240316446148,10.576206650110782,9.844012700013115,5.406872073368133,5.084759365028025,14.106878141730153
MB,1953,C1,B1,M,historical,11.262005291064822,7.805368302526687,7.274472239760208,3.626340525702104,3.279471588013357,11.272162295260843
MB,1953,C1,C1,M,historical,9.04973106395937,5.5504724829010685,4.876559504755013,1.577481276337416,1.2411619566049763,8.991693658741259
MB,1953,C1,D1,M,historical,7.627714123986565,4.690315654810501,4.05422295263937,1.195990696703882,0.962254960791158,7.5885115143811195
MB,1954,C1,A1,F,historical,13.259476398269896,10.406175502429054,9.611843833549504,5.5598635203488875,5.409758007667378,16.641913859164305
MB,1954,C1,B1,F,historical,10.577200248700889,7.769917706159073,7.18530601133255,3.8856140872478786,3.6286351633091267,12.157269123439296
MB,1954,C1,C1,F,historical,8.372980872646432,5.347402751124599,4.7021847845754134,1.6340168884323172,1.3748808145770604,8.86403793916336
MB,1954,C1,D1,F,historical,7.110028579034657,4.601391076916736,3.9425176518286924,1.2640511163042236,1.0930502757875562,7.5627044096769005
MB,1954,C1,A1,M,historical,15.416297960795307,12.155329873329894,11.242710721910061,6.606988654453615,6.444505817086609,15.29763004225152
MB,1954,C1,B1,M,historical,12.338357062004263,9.133928846400277,8.46164130527787,4.686634731990525,4.401309177353905,12.2824181465859
MB,1954,C1,C1,M,historical,9.79461777889109,6.343689715378338,5.6025992836521805,2.089539224524144,1.80159369572495,9.730936665766452
MB,1954,C1,D1,M,historical,8.351770002878249,5.492488434316802,4.734998423296927,1.6668777155458465,1.4802745306660146,8.307451851888473
MB,1955,C1,A1,F,historical,11.73230348300258,8.653014005496335,8.04342543236766,4.356242344503084,4.081192226096055,13.399020865138436
MB,1955,C1,B1,F,historical,9.353250084542747,6.361687189265451,5.9349837070473,2.938759952430092,2.567473760610931,9.981105177335726
MB,1955,C1,C1,F,historical,7.178639079682448,4.218404388652743,3.719936547800419,1.0848215155245087,0.7721966604578392,7.376334525660818
