species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg
MB,1956,D1,C1,F,historical,13.10705222690171,9.003391737728009,9.612827720125447,5.694176903741539,2.8483871566533465
MB,1956,D1,D1,F,historical,9.326416199022388,5.916158267874848,6.11396979664192,2.9936948260522906,1.3430849828499145
MB,1956,D1,A1,M,historical,17.311552705904287,13.617480238827552,13.858853097585822,9.394372439591102,6.815447692396679
MB,1956,D1,B1,M,historical,13.99921226823846,10.12715252006732,10.126209023107076,6.22037834895103,4.578643623733884
MB,1956,D1,C1,M,historical,15.26368830628101,10.526161183613024,11.224043363014335,6.729882537520125,3.4801166975225337
MB,1956,D1,D1,M,historical,10.904090157550392,6.988385878729604,7.212473585352491,3.636281760806795,1.7547492508309805
MB,1957,D1,A1,F,historical,14.67747855216578,11.235477331846853,11.691641446200943,8.113620351230278,5.535229667047238
MB,1957,D1,B1,F,historical,11.548508444130018,8.35439596427178,8.541608753945134,5.56675738900842,3.7798556465513014
MB,1957,D1,C1,F,historical,12.581884707958656,8.343631205061667,9.1431700193649,5.613719274221539,2.6575673875210346
MB,1957,D1,D1,F,historical,9.411253029381394,5.9712787182588825,6.39577525910381,3.5147645681727617,1.4827097472285058
MB,1957,D1,A1,M,historical,17.098171830875575,13.110586475455788,13.633376461863765,9.52598410208858,6.578540669642927
MB,1957,D1,B1,M,historical,13.483986681177278,9.803346427381525,10.018075877200733,6.606467073926273,4.565435841499776
MB,1957,D1,C1,M,historical,14.677146737086199,9.776725716077916,10.69324872242579,6.64287648390043,3.260657673053129
MB,1957,D1,D1,M,historical,11.017922246741374,7.052669452972861,7.538537747188975,4.233528433224092,1.9114892529016736
MB,1958,D1,A1,F,historical,15.467595253235295,11.621016690566869,12.071174790486236,8.221038101141865,5.593412940501314
MB,1958,D1,B1,F,historical,12.347030109689882,8.595675980279132,8.789571346095753,5.495127170164733,3.777735648742979
MB,1958,D1,C1,F,historical,14.225129758731926,9.533124209007132,10.301953569807429,6.240477631840588,3.1195411414416743
MB,1958,D1,D1,F,historical,10.152997079454373,6.7271258658913515,7.041796356833701,3.8181984478754782,1.8026531254066598
MB,1958,D1,A1,M,historical,17.980071654836227,13.542536525461138,14.057106172462337,9.641674141025232,6.642539075364802
MB,1958,D1,B1,M,historical,14.371676497772157,10.071926765501418,10.291254178479209,6.5192114970209,4.562069098570259
MB,1958,D1,C1,M,historical,16.538537193970278,11.131041410156435,12.011080217108727,7.35546467462424,3.791517290843868
MB,1958,D1,D1,M,historical,11.86281413961876,7.918695300364019,8.277236544145596,4.581134768208241,2.2817326553688346
MB,1959,D1,A1,F,historical,15.726351145310238,12.171912685816626,12.667479910343495,8.750836499252156,5.894757460114753
MB,1959,D1,B1,F,historical,12.848708723281344,9.095078044882772,9.38343900923707,5.942885525871769,3.93787752940846
MB,1959,D1,C1,F,historical,13.972739217942387,9.73482872314042,10.633437915653916,6.594344601995323,3.057816985666508
MB,1959,D1,D1,F,historical,9.877098665210474,6.641192489563959,7.064342099234716,3.888350029207439,1.634910169015105
MB,1959,D1,A1,M,historical,18.29460068241819,14.178582187648516,14.746169948959114,10.251438808979911,6.990399212415261
MB,1959,D1,B1,M,historical,14.957856415831365,10.647137073890088,10.975034069893617,7.034091290113556,4.7483484081160485
MB,1959,D1,C1,M,historical,16.27497266753258,11.36670543659075,12.397421097331938,7.763422751233878,3.722879505567082
MB,1959,D1,D1,M,historical,11.561849277845692,7.8239171355908885,8.308036569604422,4.664041277049794,2.0913843269558106
MB,2015,D1,A1,F,contemporary,15.915458181505139,12.494681875397246,12.731255228142517,8.83785788491859,6.445368028029115
MB,2015,D1,B1,F,contemporary,13.314169026278908,9.741068997139392,9.80251882974181,6.345795244019222,4.6335519346059435
MB,2015,D1,C1,F,contemporary,13.909573724208418,9.695425101378884,10.281182109615859,6.290326687918445,3.4059606083542944
MB,2015,D1,D1,F,contemporary,10.431475880490696,6.986971942932349,7.185455254733586,3.901025371504058,2.04386146220977
MB,2015,D1,A1,M,contemporary,18.505515538494137,14.552045474669496,14.821728353387424,10.355631738170548,7.625441864454859
MB,2015,D1,B1,M,contemporary,15.492434396042317,11.39152882376829,11.459101139286782,7.50037244773754,5.549536534070256
MB,2015,D1,C1,M,contemporary,16.18605051562726,11.324257334119167,11.99459709828144,7.4187044217115155,4.125807328382872
MB,2015,D1,D1,M,contemporary,12.181519135547857,8.22127522916216,8.446576424241947,4.6822728157954305,2.564886784526273
MB,2016,D1,A1,F,contemporary,16.185938440860554,13.375316054454059,13.457819852328026,9.460635550951181,7.287662850481807
MB,2016,D1,B1,F,contemporary,13.63650395356293,10.479112657309322,10.37161475330638,6.757149040077656,5.316733724547409
MB,2016,D1,C1,F,contemporary,14.303206256980792,10.766974513370252,11.292308516667848,7.17596440213188,4.145369480488519
MB,2016,D1,D1,F,contemporary,11.029013004534837,7.723658975417817,7.858894154160161,4.384346567283065,2.4751473004132185
MB,2016,D1,A1,M,contemporary,18.831214910608352,15.566580733276608,15.659778787697347,11.07075157963752,8.590667696831003
MB,2016,D1,B1,M,contemporary,15.869845443623616,12.240278488060628,12.114079607261669,7.973339053157472,6.332633889594256
MB,2016,D1,C1,M,contemporary,16.66168262346686,12.555944527414017,13.158284398152231,8.433802224156182,4.972594146710498
MB,2016,D1,D1,M,contemporary,12.872558047437996,9.065784294584434,9.218546568612597,5.236067331929526,3.059481168581661
MB,2017,D1,A1,F,contemporary,16.04657493741666,12.196757798264402,12.504724690841604,8.547837775651972,6.174896243079947
MB,2017,D1,B1,F,contemporary,13.35573176604064,9.519064337632946,9.660804762952669,6.136024229985055,4.397013997070064
MB,2017,D1,C1,F,contemporary,13.770294944613564,9.452051635311703,10.06498044182033,6.094105951374377,3.223240614576358
MB,2017,D1,D1,F,contemporary,11.63576525576867,7.840445497581945,8.198010078718593,4.556778448194883,2.2459504500293344
MB,2017,D1,A1,M,contemporary,18.643522356667706,14.208678193467367,14.559774190961303,10.023303689972758,7.315904376050044
MB,2017,D1,B1,M,contemporary,15.534263200221488,11.136336563426562,11.295871562529921,7.2601161620894965,5.278762910163856
MB,2017,D1,C1,M,contemporary,16.025224904315696,11.046394361201102,11.748073631958361,7.1956976788112295,3.9175985664917006
MB,2017,D1,D1,M,contemporary,13.568342972451811,9.198485957083117,9.606559778718413,5.433316997696545,2.7968749102896817
MB,2018,D1,A1,F,contemporary,16.179066512220096,12.942229504583091,13.089295982120937,9.23586997526366,6.97336206442083
MB,2018,D1,B1,F,contemporary,13.76987569297043,10.20220631373774,10.185466520315204,6.654959004199108,5.066500630241494
MB,2018,D1,C1,F,contemporary,14.236702118478052,10.264595638469839,10.732417565499171,6.724505112683543,3.928301616092566
MB,2018,D1,D1,F,contemporary,10.94214703205507,7.772649972662581,7.910718480979206,4.566354652551669,2.635114670214081
MB,2018,D1,A1,M,contemporary,18.81008649935937,15.066061863956662,15.233174728297271,10.81162034798462,8.229803001867447
MB,2018,D1,B1,M,contemporary,16.010798850444395,11.919297313495935,11.896974776420043,7.854034384270202,6.045358063821918
MB,2018,D1,C1,M,contemporary,16.564836176030898,11.977430041830893,12.512488841386233,7.916896231982969,4.72499821998632
MB,2018,D1,D1,M,contemporary,12.776674978947229,9.124078260401392,9.280204284433612,5.445316480615593,3.243624737476491
MB,2019,D1,A1,F,contemporary,16.16278707282481,12.758913193366364,13.069034095238953,9.136438999692114,6.675588021062622
MB,2019,D1,B1,F,contemporary,13.272475992433236,9.762357252413087,9.841704783305131,6.39861447204739,4.765631504216409
MB,2019,D1,C1,F,contemporary,14.765662674707478,10.290211842082687,11.028519332029411,6.8655570040404506,3.6878388842333636
MB,2019,D1,D1,F,contemporary,10.896912430732552,7.239568133311621,7.525971003870908,4.156600307505221,2.1995352334557206
MB,2019,D1,A1,M,contemporary,18.793542963516337,14.854363830851616,15.208567286966751,10.695742159815598,7.885772223959381
MB,2019,D1,B1,M,contemporary,15.446487062827279,11.415010127586006,11.50319972337538,7.559303151349855,5.697101798353403
MB,2019,D1,C1,M,contemporary,17.17282124022157,12.003439058421282,12.849392847102095,8.075255995896566,4.445004456987955
MB,2019,D1,D1,M,contemporary,12.71413652758669,8.507607764001165,8.83381337805241,4.971926095711698,2.738818213442417
MB,2020,D1,A1,F,contemporary,16.140558179895727,13.657002317649324,13.623107906922026,9.680059024316812,7.670629639309495
MB,2020,D1,B1,F,contemporary,13.437043414635227,10.804250844228534,10.581838688480167,7.04982827024107,5.727757225015214
MB,2020,D1,C1,F,contemporary,14.531176748019373,11.040750975871536,11.44051123109125,7.319338265935897,4.495268621099602
MB,2020,D1,D1,F,contemporary,10.993633243988603,7.787786544499561,7.799609809184487,4.3766671025463815,2.7534976611091357
MB,2020,D1,A1,M,contemporary,18.78113540324808,15.889016416409236,15.848342022665664,11.320352128271097,9.02738791642523
MB,2020,D1,B1,M,contemporary,15.649493858602822,12.613437871500555,12.355514794702948,8.30746632734962,6.801678950529036
MB,2020,D1,C1,M,contemporary,16.915451007168,12.868201272391792,13.325752181574451,8.595608725572783,5.371668775249916
MB,2020,D1,D1,M,contemporary,12.826363324908392,9.139971585917795,9.150176565559663,5.227000070898398,3.37784931450776
MB,2021,D1,A1,F,contemporary,16.138882931488812,13.165884274182954,13.265911352107677,9.335416184769866,7.206296729231364
MB,2021,D1,B1,F,contemporary,13.823710586531796,10.500466648170578,10.438756270952213,6.8157720088427665,5.3268171134841955
MB,2021,D1,C1,F,contemporary,13.909450329726798,10.14618170673917,10.554124373909966,6.618063822067986,4.005371200739711
MB,2021,D1,D1,F,contemporary,11.562002711567551,8.396954802039247,8.580365582876574,4.994571793634247,2.946011926273158
MB,2021,D1,A1,M,contemporary,18.769778673475347,15.325335463480572,15.438382420092186,10.926943769149931,8.497097382186492
MB,2021,D1,B1,M,contemporary,16.078437657808887,12.263064965202414,12.189538519475066,8.03947271639319,6.343761109469278
MB,2021,D1,C1,M,contemporary,16.193696820271974,11.845937967572386,12.312652942005814,7.796815962700353,4.813877529504831
MB,2021,D1,D1,M,contemporary,13.494077875367527,9.840951448150793,10.049424872794512,5.937125367650727,3.6003744985847095
MB,2022,D1,A1,F,contemporary,16.073572719808688,13.20810989917685,13.363558809980207,9.480636586084785,7.256846619596539
MB,2022,D1,B1,F,contemporary,13.515041615107183,10.236321130993526,10.206051920012415,6.668650905757752,5.187845325376251
MB,2022,D1,C1,F,contemporary,13.94749285613292,10.46428842750288,11.029803011966184,7.138174446353893,4.118085130081232
MB,2022,D1,D1,F,contemporary,11.525427507622549,8.527821223861276,8.82823662989827,5.329686259254046,2.971867785001369
MB,2022,D1,A1,M,contemporary,18.703439960313325,15.37772651450088,15.555013550676131,11.096408843930085,8.557856254788767
MB,2022,D1,B1,M,contemporary,15.726833989883207,11.9632955157304,11.925951259371486,7.873651589291797,6.187498118116092
MB,2022,D1,C1,M,contemporary,16.25899010024788,12.21488657909947,12.863821714624802,8.395322650319407,4.945044230427226
MB,2022,D1,D1,M,contemporary,13.466362149692692,9.993182475162794,10.336869402731239,6.32181447970111,3.6304362532999956
MB,2023,D1,A1,F,contemporary,14.657047003795086,11.126777298045678,11.505708630475857,7.911251745032217,5.615841250456133
MB,2023,D1,B1,F,contemporary,12.322476656353851,8.595532941829024,8.765517378711227,5.509628576201392,3.956399247596737
MB,2023,D1,C1,F,contemporary,13.218803156589239,9.238213328160786,9.85279989123977,6.0947877825434755,3.334674520889719
MB,2023,D1,D1,F,contemporary,9.505284664550341,6.424537612177783,6.6196026401541035,3.598174489889395,1.9583802295431274
MB,2023,D1,A1,M,contemporary,17.0590993102704,12.985372219379553,13.418340751084406,9.294400402437041,6.673314892751214
MB,2023,D1,B1,M,contemporary,14.346914946427596,10.077369741012559,10.269443061472703,6.541346749858599,4.770835054466191
MB,2023,D1,C1,M,contemporary,15.400678320399827,10.802752778613113,11.507017360073808,7.195771682724652,4.041953824495415
MB,2023,D1,D1,M,contemporary,11.125221773564045,7.5782953613049315,7.800401316459153,4.334980114110282,2.4632467183556757
MB,2024,D1,A1,F,contemporary,16.44004149049194,13.75641053156731,13.81860486173562,9.843993355784633,7.693406868088648
MB,2024,D1,B1,F,contemporary,13.361154090076125,10.417288298157791,10.22780863539688,6.699494914283798,5.451940066965548
MB,2024,D1,C1,F,contemporary,14.794808175170848,11.03800546931242,11.573433803135302,7.439760887898154,4.400901958503113
