species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MS,2017,A1,B1,M,contemporary,13.19804204,8.065345875,8.274276579,4.398877386,2.593003414,11.37246404
MS,2017,A1,Eldo,M,contemporary,17.41526984,12.65691928,12.90009902,8.052066567,5.601062194,14.04622568
MB,2018,A1,A1,F,contemporary,19.8867945,16.87653611,16.96925737,12.83452131,10.34422389,32.61726303
MB,2018,A1,B1,F,contemporary,17.45764802,13.92837723,13.86249809,9.804107017,7.9454148,23.79406043
MB,2018,A1,C1,F,contemporary,17.78545667,13.73362077,14.19593139,9.701433591,6.330896155,27.89284458
MB,2018,A1,D1,F,contemporary,14.21505874,10.75218557,10.8523151,6.886590034,4.52580417,20.14743964
MS,2018,A1,A1,F,contemporary,28.85947099,20.57478454,20.99405895,13.44386243,9.342654541,29.36578854
MS,2018,A1,B1,F,contemporary,22.91940816,15.16646759,15.20324866,9.019708568,6.361030054,23.88785207
MS,2018,A1,Eldo,F,contemporary,28.94588391,22.54398909,22.53484504,15.14063991,11.46498,30.24192121
MB,2018,A1,A1,M,contemporary,23.15577544,19.64314427,19.74903617,14.99038816,12.14407356,23.13009946
MB,2018,A1,B1,M,contemporary,20.31168583,16.24669456,16.16779251,11.51290611,9.394964939,20.19302425
MB,2018,A1,C1,M,contemporary,20.71627452,16.01033114,16.54094334,11.37631313,7.52607358,20.74145731
MB,2018,A1,D1,M,contemporary,16.59761128,12.59294135,12.70615876,8.152882642,5.460165975,16.70952738
MS,2018,A1,A1,M,contemporary,17.50150153,12.27652742,12.55133086,7.75518694,5.115510929,13.86918467
MS,2018,A1,B1,M,contemporary,13.80009648,8.848325875,8.882966114,4.949880213,3.230545591,11.73274614
MS,2018,A1,Eldo,M,contemporary,17.49183892,13.5023516,13.50031649,8.814946056,6.448784817,14.29243562
MB,2019,A1,A1,F,contemporary,19.87097482,16.61403332,16.8959257,12.69484167,9.925223121,32.30142686
